id,product_id,product_name,category,brand,model,base_price,offer_price,product_status,gst_percent,stock_quantity,Department
1,5116877-10699891024,Unbranded Chair,Chairs - Handcrafted,NA ,S TYPE OFFICE CHAIR,8000,8000,Published,18,0,Furniture
2,6894588-68768746728,REVOLVING COMPUTER CHAIRS,Chairs - Handcrafted,NA ,REX L-90,5000,5000,Draft Products,18,0,Furniture
3,5116877-75540633198,1200 MM BLDG Motor Ceiling fan,Table Fan / Wall Mount Fan / Ceiling Mount Fan as per IS 555,NA ,FAN,2599,2599,Published,18,0,Furniture
4,5116877-28329697146,Unbranded Wall Clock for Preschool made up of Virgin Polyethylene,Wall Clock (Preschool Kit),NA ,Wall Clock for Preschool made up of Virgin Polypropylene,650,650,Published,18,0,Electronics
5,5116877-81363847092,J&A RACK 02,Stainless Steel Shelf Rack,NA ,J&A Steel Rack,4800,4800,Published,18,0,Furniture
6,5116877-68391517669,"Unbranded Acrylic Electronic Baby Weighing Scale , Tray Size 550x300x100 mm (WxHxD)",Electronic Baby Weighing Scale - RBSK,NA ,WEIGHING SCALE,6000,6000,Published,18,0,Miscellaneous
7,5116877-59805784424,Unbranded 400 millimeter Bracket mounted fan for Ceiling mounting,Table Fan / Wall Mount Fan / Ceiling Mount Fan as per IS 555,NA ,NA,2609,2609,Published,18,0,Furniture
8,5116877-88897386205,ABS ELECTRONIC BABY WEIGHING SCALE,Electronic Baby Weighing Scale - RBSK,VINCE VIRGO,ELECTRONIC BABY WEIGHING SCALE,5000,5000,Published,18,0,Miscellaneous
9,5116877-59149940624,Unbranded Rectangle Shaped Brown 16-17 Inch of height,PVC molded stool,NA ,PVC MOLDED STOOL,1000,1000,Published,18,0,Furniture
10,5116877-65346171557,SUNDEEP PLASTIC CHAIR,Chair (Preschool Kit),NA ,TOY PLASTIC CHAIR,2250,2250,Published,18,0,Furniture
11,5116877-32865957670,Unbranded Standard Keyboard - Wired - Plug and Play 1 Years,Keyboard for Personal Computers (V2) as per IS 14441,NA ,USB 2.0,4010,4010,Published,18,0,Computer & IT
12,5116877-63756179169,SPB COPIER 70 GSM A4,Plain Copier Paper (V3) ISI Marked to IS 14490,SPB COPIER,SPB COPIER 70 GSM 21 X 29.7 CM,374,374,Published,18,0,Office Supplies
13,5116877-54694508963,Safeage Deposit safe (Non Tool Resistant) An Individually secured container for Paper / Cash / Documents,Deposit Safe (Non Tool Resistant),Safeage,SAFEAGE POST OFFICE SHILLONG MODEL,119890,119890,Published,18,0,Safety & Industrial
14,5116877-13546072459,MAXXIN03,Electronic Weighing Scales,Unbranded--MAXXIN TECH,MAXXIN03,105000,105000,Published,18,0,Miscellaneous
15,5116877-99939750203,EPSON PASSBOOK 128 Kbyte Bankbook or Passbook Update Machines-printer,Bankbook or Passbook Update Machines - Printer,EPSON PASSBOOK,PLQ-30,35990,35990,Published,18,0,Computer & IT
16,5116877-35527170807,TVS Speed 40 Star with 5 years warranty,Bankbook or Passbook Update Machines - Printer,TVS,TVS Speed 40 Star with 5 years warranty,40995,40995,Published,18,0,Computer & IT
